L R d eps
2 3 0.312 0.0106666666667
3 4 0.21 0.0195238095238
4 5 0.174 0.012
4 6 0.156 0.00533333333333
5 6 0.15 0.00833333333333
5 7 0.126 0.00842857142857
6 7 0.13 0.00547619047619
6 8 0.106 0.0095
6 9 0.104 0.00355555555556
7 8 0.116 0.00442857142857
7 9 0.096 0.00755555555556
7 10 0.09 0.005
8 9 0.104 0.00338888888889
8 10 0.088 0.006
8 11 0.078 0.00563157894737
8 12 0.078 0.00266666666667
9 10 0.094 0.00255555555556
9 11 0.08 0.00464646464646
9 12 0.07 0.00650793650794
9 13 0.07 0.00346153846154
10 11 0.086 0.00209090909091
10 12 0.074 0.00366666666667
10 13 0.066 0.00546153846154
10 14 0.064 0.00371428571429
10 15 0.062 0.002
11 13 0.07 0.00346153846154
11 14 0.062 0.00471428571429
11 15 0.058 0.00433333333333
11 16 0.058 0.00225
12 14 0.066 0.00271428571429
12 15 0.058 0.004
12 16 0.052 0.00438095238095
12 17 0.052 0.00314942528736
13 15 0.062 0.00233333333333
13 16 0.056 0.00325
13 17 0.05 0.00441176470588
13 18 0.048 0.00333498759305
13 19 0.048 0.00231578947368
14 16 0.058 0.00221428571429
14 17 0.052 0.00289075630252
14 18 0.048 0.00377777777778
14 19 0.046 0.00331578947368
14 20 0.046 0.002
15 18 0.05 0.00277777777778
15 19 0.046 0.00331578947368
15 20 0.042 0.00390476190476
15 21 0.042 0.00280952380952
16 19 0.048 0.00231578947368
16 20 0.044 0.003
16 21 0.04 0.00363095238095
16 22 0.04 0.00272727272727
17 20 0.046 0.002
17 21 0.042 0.00279271708683
17 22 0.038 0.00295721925134
17 23 0.038 0.00273913043478
18 22 0.04 0.00232323232323
18 23 0.038 0.00273913043478
18 24 0.036 0.00283333333333
18 25 0.036 0.002
19 24 0.036 0.00264912280702
19 25 0.034 0.003
19 26 0.034 0.00223076923077
20 25 0.034 0.002
20 26 0.032 0.00253846153846
20 27 0.032 0.00251851851852
21 26 0.034 0.00223076923077
21 27 0.032 0.00251851851852
21 28 0.03 0.00278911564626
21 29 0.03 0.00224137931034
22 28 0.03 0.00201298701299
22 29 0.03 0.00224137931034
23 29 0.03 0.00224137931034
23 30 0.028 0.00240579710145
23 31 0.028 0.00212903225806
24 31 0.028 0.00212903225806
24 32 0.026 0.00219047619048
25 33 0.026 0.00215151515152
