eps R/L R L
0.0626 1.3103448275862069 38 29
0.0619 1.3 13 10
0.0619 1.3 26 20
0.0617 1.2962962962962963 35 27
0.0613 1.3043478260869565 30 23
0.0611 1.2941176470588236 22 17
0.061 1.3125 21 16
0.061 1.3125 42 32
0.0599 1.2857142857142858 9 7
0.059 1.3055555555555556 47 36
0.0585 1.3142857142857143 46 35
0.0574 1.3076923076923077 17 13
0.057 1.3333333333333333 4 3
0.057 1.3333333333333333 8 6
0.057 1.3157894736842106 25 19
0.0559 1.2692307692307692 33 26
0.0553 1.2647058823529411 43 34
0.0553 1.3333333333333333 12 9
0.0553 1.3333333333333333 20 15
0.0553 1.3333333333333333 28 21
0.0549 1.2702702702702702 47 37
0.0548 1.2580645161290323 39 31
0.0546 1.3 39 30
0.0542 1.3076923076923077 34 26
0.0538 1.263157894736842 24 19
0.0538 1.263157894736842 48 38
0.0538 1.2857142857142858 18 14
0.0538 1.32 33 25
0.0538 1.3428571428571427 47 35
0.0537 1.303030303030303 43 33
0.0534 1.2727272727272727 14 11
0.0534 1.2727272727272727 28 22
0.0534 1.2727272727272727 42 33
0.053 1.28 32 25
0.0529 1.2857142857142858 27 21
0.0529 1.2857142857142858 36 28
0.0528 1.3448275862068966 39 29
0.0524 1.2972972972972974 48 37
0.0521 1.25 5 4
0.0521 1.25 10 8
0.0521 1.34375 43 32
0.052 1.25 15 12
0.0516 1.2608695652173914 29 23
0.0512 1.24 31 25
0.0511 1.2916666666666667 31 24
0.051 1.3333333333333333 16 12
0.051 1.3333333333333333 24 18
0.051 1.3333333333333333 36 27
0.051 1.3333333333333333 48 36
0.0504 1.35 27 20
0.0502 1.2777777777777777 23 18
0.0502 1.2777777777777777 46 36
0.0501 1.2413793103448276 36 29
0.0499 1.3333333333333333 32 24
0.0497 1.2666666666666666 19 15
0.0493 1.3181818181818181 29 22
0.0491 1.3714285714285714 48 35
0.049 1.3478260869565217 31 23
0.0488 1.2666666666666666 38 30
0.0486 1.2222222222222223 11 9
0.0486 1.2222222222222223 22 18
0.0486 1.2222222222222223 44 36
0.0482 1.28125 41 32
0.0482 1.225 49 40
0.0481 1.3225806451612903 41 31
0.048 1.25 20 16
0.048 1.25 40 32
0.0478 1.3461538461538463 35 26
0.0478 1.2352941176470589 21 17
0.0477 1.2571428571428571 44 35
0.0477 1.3636363636363635 15 11
0.0476 1.25 25 20
0.0471 1.380952380952381 29 21
0.047 1.2564102564102564 49 39
0.0468 1.2380952380952381 26 21
0.0468 1.2142857142857142 17 14
0.0468 1.2142857142857142 34 28
0.0466 1.3529411764705883 23 17
0.0465 1.2903225806451613 40 31
0.0464 1.3571428571428572 19 14
0.0464 1.2941176470588236 44 34
0.0461 1.2592592592592593 34 27
0.0458 1.2894736842105263 49 38
0.0457 1.2857142857142858 45 35
0.0454 1.2333333333333334 37 30
0.0452 1.2307692307692308 16 13
0.0452 1.2307692307692308 48 39
0.045 1.3333333333333333 40 30
0.045 1.3333333333333333 44 33
0.0447 1.3214285714285714 37 28
0.0446 1.3243243243243243 49 37
0.044 1.2121212121212122 40 33
0.0439 1.2758620689655173 37 29
0.0436 1.2272727272727273 27 22
0.0436 1.375 11 8
0.0436 1.375 22 16
0.0436 1.375 44 32
0.0435 1.3793103448275863 40 29
0.0433 1.3611111111111112 49 36
0.0431 1.375 33 24
0.0431 1.25 30 24
0.0431 1.25 35 28
0.0427 1.3548387096774193 42 31
0.0427 1.2173913043478262 28 23
0.0426 1.36 34 25
0.0424 1.2285714285714286 43 35
0.0424 1.368421052631579 26 19
0.0423 1.2307692307692308 32 26
0.0421 1.2 6 5
0.0421 1.2 12 10
0.0421 1.4 7 5
0.0421 1.4 21 15
0.0421 1.4 49 35
0.042 1.1904761904761905 25 21
0.0417 1.2 18 15
0.0417 1.2 30 25
0.0416 1.3846153846153846 18 13
0.0416 1.3846153846153846 36 26
0.0411 1.2162162162162162 45 37
0.0409 1.3703703703703705 37 27
0.0407 1.3235294117647058 45 34
0.0406 1.2058823529411764 41 34
0.0405 1.2105263157894737 23 19
0.0404 1.1842105263157894 45 38
0.04 1.25 45 36
0.0398 1.236842105263158 47 38
0.0394 1.2424242424242424 41 33
0.0392 1.1935483870967742 37 31
0.039 1.1851851851851851 32 27
0.0387 1.3571428571428572 38 28
0.0386 1.2222222222222223 33 27
0.0381 1.1818181818181819 13 11
0.0377 1.2083333333333333 29 24
0.0376 1.3636363636363635 30 22
0.0375 1.3870967741935485 43 31
0.0374 1.391304347826087 32 23
0.0373 1.206896551724138 35 29
0.0371 1.4 14 10
0.0371 1.4 28 20
0.0371 1.1951219512195121 49 41
0.0371 1.1875 19 16
0.0371 1.1875 38 32
0.037 1.21875 39 32
0.0369 1.1666666666666667 7 6
0.0369 1.1666666666666667 35 30
0.0367 1.2 24 20
0.0367 1.3636363636363635 45 33
0.0364 1.4166666666666667 17 12
0.0364 1.4166666666666667 34 24
0.0363 1.2352941176470589 42 34
0.036 1.3888888888888888 25 18
0.0359 1.2258064516129032 38 31
0.0359 1.3666666666666667 41 30
0.0357 1.3529411764705883 46 34
0.0356 1.40625 45 32
0.0354 1.1714285714285715 41 35
0.0354 1.4230769230769231 37 26
0.035 1.4285714285714286 10 7
0.035 1.4285714285714286 30 21
0.0349 1.173913043478261 27 23
0.0347 1.4137931034482758 41 29
0.0344 1.2432432432432432 46 37
0.034 1.1764705882352942 20 17
0.0339 1.1794871794871795 46 39
0.0338 1.15 23 20
0.0338 1.15 46 40
0.0334 1.1891891891891893 44 37
0.033 1.2105263157894737 46 38
0.0328 1.1578947368421053 22 19
0.0328 1.3928571428571428 39 28
0.0326 1.1666666666666667 14 12
0.0326 1.1666666666666667 21 18
0.0326 1.1666666666666667 42 36
0.0323 1.4193548387096775 44 31
0.0322 1.1785714285714286 33 28
0.0321 1.4 35 25
0.0319 1.1818181818181819 26 22
0.0317 1.2 42 35
0.0315 1.1428571428571428 8 7
0.0315 1.1428571428571428 16 14
0.0313 1.4074074074074074 38 27
0.0312 1.411764705882353 24 17
0.0312 1.4444444444444444 13 9
0.031 1.16 29 25
0.031 1.2 36 30
0.031 1.2 48 40
0.0308 1.1515151515151516 38 33
0.0308 1.3823529411764706 47 34
0.0305 1.1481481481481481 31 27
0.0304 1.1666666666666667 28 24
0.0303 1.1538461538461537 15 13
0.0302 1.4090909090909092 31 22
0.03 1.1379310344827587 33 29
0.0299 1.4583333333333333 35 24
0.0294 1.4615384615384615 19 13
0.0294 1.4615384615384615 38 26
0.0294 1.1923076923076923 31 26
0.0289 1.4210526315789473 27 19
0.0287 1.135135135135135 42 37
0.0287 1.393939393939394 46 33
0.0284 1.125 9 8
0.0284 1.125 18 16
0.0284 1.125 36 32
0.0283 1.1304347826086956 26 23
0.028 1.4285714285714286 20 14
0.0279 1.1470588235294117 39 34
0.0278 1.4375 23 16
0.0278 1.4375 46 32
0.0276 1.1612903225806452 36 31
0.0275 1.1764705882352942 40 34
0.0274 1.1724137931034482 34 29
0.0271 1.4 42 30
0.0271 1.4516129032258065 45 31
0.0271 1.1818181818181819 39 33
0.027 1.4285714285714286 40 28
0.0268 1.119047619047619 47 42
0.0267 1.1428571428571428 24 21
0.0265 1.1944444444444444 43 36
0.0265 1.434782608695652 33 23
0.0262 1.4482758620689655 42 29
0.0262 1.1538461538461537 30 26
0.0262 1.1538461538461537 45 39
0.0262 1.146341463414634 47 41
0.0259 1.411764705882353 48 34
0.0259 1.4666666666666666 22 15
0.0255 1.175 47 40
0.025 1.1333333333333333 17 15
0.0249 1.205128205128205 47 39
0.0249 1.1111111111111112 10 9
0.0248 1.45 29 20
0.0248 1.4545454545454546 16 11
0.0245 1.1142857142857143 39 35
0.0239 1.131578947368421 43 38
0.0238 1.1666666666666667 49 42
0.0237 1.4761904761904763 31 21
0.0237 1.1025641025641026 43 39
0.0232 1.162162162162162 43 37
0.0229 1.4545454545454546 32 22
0.0225 1.1 11 10
0.0224 1.1176470588235294 19 17
0.0222 1.44 36 25
0.0222 1.4444444444444444 26 18
0.0222 1.4444444444444444 39 27
0.0221 1.4838709677419355 46 31
0.022 1.1363636363636365 25 22
0.0219 1.096774193548387 34 31
0.0216 1.15625 37 32
0.0214 1.12 28 25
0.0213 1.5 3 2
0.0213 1.5 6 4
0.0213 1.5 9 6
0.0213 1.5 12 8
0.0213 1.5 18 12
0.0213 1.5 36 24
0.0213 1.5 39 26
0.0213 1.4642857142857142 41 28
0.0212 1.1153846153846154 29 26
0.0212 1.4411764705882353 49 34
0.0212 1.1333333333333333 34 30
0.0211 1.4242424242424243 47 33
0.021 1.125 27 24
0.0205 1.1219512195121952 46 41
0.0204 1.46875 47 32
0.02 1.1388888888888888 41 36
0.0196 1.5 15 10
0.0191 1.1290322580645162 35 31
0.0191 1.1428571428571428 32 28
0.0188 1.4333333333333333 43 30
0.0186 1.1578947368421053 44 38
0.0185 1.0810810810810811 40 37
0.0183 1.0909090909090908 12 11
0.0183 1.0909090909090908 24 22
0.0183 1.0909090909090908 48 44
0.0182 1.1071428571428572 31 28
0.0182 1.4827586206896552 43 29
0.0181 1.0869565217391304 25 23
0.0181 1.103448275862069 32 29
0.018 1.1111111111111112 20 18
0.018 1.1111111111111112 30 27
0.018 1.1111111111111112 40 36
0.0179 1.1162790697674418 48 43
0.0175 1.0833333333333333 13 12
0.0175 1.1428571428571428 40 35
0.0175 1.1428571428571428 48 42
0.0175 1.088235294117647 37 34
0.0171 1.5161290322580645 47 31
0.0171 1.170731707317073 48 41
0.017 1.4705882352941178 25 17
0.0169 1.121212121212121 37 33
0.0163 1.4736842105263157 28 19
0.0162 1.0930232558139534 47 43
0.0162 1.4782608695652173 34 23
0.0157 1.5 21 14
0.0157 1.5 33 22
0.0157 1.5 42 28
0.0155 1.0952380952380953 23 21
0.0155 1.0714285714285714 15 14
0.0155 1.0714285714285714 30 28
0.0154 1.105263157894737 21 19
0.0149 1.0731707317073171 44 41
0.0146 1.1176470588235294 38 34
0.0145 1.1 22 20
0.0145 1.1 44 40
0.0144 1.105263157894737 42 38
0.0143 1.0769230769230769 14 13
0.0143 1.0769230769230769 28 26
0.0142 1.1282051282051282 44 39
0.0138 1.4545454545454546 48 33
0.0135 1.4814814814814814 40 27
0.0133 1.5 24 16
0.0133 1.5 30 20
0.0133 1.5 48 32
0.0133 1.0909090909090908 36 33
0.0132 1.0588235294117647 18 17
0.0132 1.0666666666666667 16 15
0.0132 1.0666666666666667 32 30
0.0132 1.0666666666666667 48 45
0.0131 1.5238095238095237 32 21
0.013 1.5384615384615385 20 13
0.013 1.5384615384615385 40 26
0.013 1.08 27 25
0.0128 1.48 37 25
0.0123 1.125 45 40
0.0123 1.5416666666666667 37 24
0.0123 1.5483870967741935 48 31
0.0119 1.5 27 18
0.0119 1.1 33 30
0.0111 1.5333333333333334 23 15
0.0109 1.4666666666666666 44 30
0.0107 1.1395348837209303 49 43
0.0105 1.5172413793103448 44 29
0.0104 1.075 43 40
0.0103 1.5357142857142858 43 28
0.0096 1.0425531914893618 49 47
0.0096 1.0833333333333333 26 24
0.0096 1.0833333333333333 39 36
0.0095 1.0571428571428572 37 35
0.0094 1.0606060606060606 35 33
0.0094 1.065217391304348 49 46
0.0092 1.0888888888888888 49 45
0.0091 1.09375 35 32
0.009 1.1136363636363635 49 44
0.0088 1.5454545454545454 17 11
0.0088 1.5454545454545454 34 22
0.0079 1.05 21 20
0.0077 1.0476190476190477 22 21
0.0077 1.0476190476190477 44 42
0.0076 1.0512820512820513 41 39
0.0076 1.0952380952380953 46 42
0.0074 1.0789473684210527 41 38
0.0073 1.5294117647058822 26 17
0.0072 1.1081081081081081 41 37
0.0072 1.0625 17 16
0.0072 1.0625 34 32
0.0068 1.0357142857142858 29 28
0.0067 1.4848484848484849 49 33
0.0066 1.5217391304347827 35 23
0.0065 1.53125 49 32
0.0065 1.0740740740740742 29 27
0.0064 1.5555555555555556 14 9
0.0063 1.5806451612903225 49 31
0.0063 1.0526315789473684 20 19
0.0063 1.0526315789473684 40 38
0.0058 1.027027027027027 38 37
0.0058 1.04 26 25
0.0057 1.0454545454545454 23 22
0.0057 1.0555555555555556 19 18
0.0057 1.0555555555555556 38 36
0.0055 1.0857142857142856 38 35
0.0053 1.5185185185185186 41 27
0.0052 1.0384615384615385 27 26
0.0051 1.5769230769230769 41 26
0.0049 1.0227272727272727 45 44
0.0049 1.5714285714285714 11 7
0.0049 1.5714285714285714 22 14
0.0049 1.5714285714285714 44 28
0.0048 1.03125 33 32
0.0048 1.0465116279069768 45 43
0.0047 1.064516129032258 33 31
0.0047 1.0294117647058822 35 34
0.0047 1.0714285714285714 45 42
0.0046 1.5263157894736843 29 19
0.0046 1.0975609756097562 45 41
0.0045 1.025 41 40
0.0041 1.0681818181818181 47 44
0.0039 1.52 38 25
0.0039 1.0333333333333334 31 30
0.0038 1.5833333333333333 19 12
0.0038 1.5833333333333333 38 24
0.0037 1.0689655172413792 31 29
0.0033 1.5 45 30
0.0033 1.5555555555555556 28 18
0.0032 1.5517241379310345 45 29
0.0032 1.5714285714285714 33 21
0.0026 1.55 31 20
0.0025 1.6 8 5
0.0025 1.6 16 10
0.002 1.5909090909090908 35 22
0.0017 1.0434782608695652 24 23
0.0017 1.0434782608695652 48 46
0.0005 1.0769230769230769 42 39
0.0004 1.0208333333333333 49 48
